UPC,ItemNumber,ItemDesc,IMAPPrice,Promo1Price,Promo1Start,Promo1End
045242288755,48-11-1820,M18 CP2.0 BATTERY,99,,,
045242541348,48-59-1880,M18 HIGH OUTPUT XC8.0 STARTER KIT,249,,,
045242544264,2485-20,"M12 FUEL 1/4"" RA DIE GRINDER BT",199,,,
045242572038,2828-21,M18 BRUSHLESS STRING TRIMMER KIT,249,179,7/1/2022,9/30/2022
045242195732,6130-33,4-1/2IN SMALL ANGL GRINDER 7A,79,,,
045242551941,2912-22,"M18 FUEL 1"" SDS PLUS ROTARY HAMMER KIT",599,,,
045242321599,2729-22,M18 FUEL BAND SAW - 2 BAT KIT,669,,,
045242568918,2960-22,"M18 FUEL 3/8"" MTIW RING KIT",459,,,
045242532902,49-16-2720,POLE SAW ATTACHMENT,169,,,
045242542871,0910-20,M18 FUEL 6 GALLON WET/DRY VACUUM,249,,,
045242546138,2560-20,"M12 FUEL 3/8"" LONG REACH RATCHET",249,,,
045242593149,3632-21,M12 GREEN 3 PLANE LASER KIT,599,,,
045242520961,2648-20,M18 RANDOM ORBIT SANDER,129,,,
045242544424,2829-22,M18 FUEL COMPACT BANDSAW KIT,519,,,
045242502332,2864-20,"GEN II HTIW WL 3/4"" RING BARE",349,,,
045242353323,48-89-4631,SHOCKWAVE 23PC TIN KIT,37.97,,,
045242504435,2736-21HD,M18 TABLE SAW HD KIT,599,,,
045242561100,2846-20,M18 COMPACT INVERTER,99,,,
045242548392,2825-21PS,M18 FUEL POWER HEAD POLE SAW KIT,449,,,
045242473168,2771-20,M18 TRANSFER PUMP BARE TOOL,229,,,
045242534630,MXF002-2XC,MX FUEL 2KW POWER SUPPLY W/ 2XC BAT,2299,,,
045242291335,2730-20,M18 FUEL 6 1/2 CIRC SAW TOOL,219,,,
045242223879,5317-21,"1-9/16"" SDS MAX ROTARY HAM KIT",439,,,
045242545643,2950-20,M18 PACKOUT RADIO,299,,,
045242543038,2749-20,M18 FUEL 18GA NARROW CRWN STPLR BARE,299,,,
045242517183,48-11-1851,M18 XC5.0 BATTERY 10-PACK,1200,,,
045242195930,6519-31,"12 AMP SAWZALL(R) 1-1/8""STROKE",129,,,
045242559558,48-22-8443,PACKOUT 3 DRAWER TOOL BOX,164,,,
045242536580,2868-22HD,"M18 FUEL OK 1"" D-HNDL HTIW KIT",1399,,,
045242293681,48-59-1806,M18 SIX BAY CHARGER,129,,,
045242646401,2533-21,M12 FUEL HEDGE TRIMMER KIT,249,,,
045242286805,48-11-1822,M18 XC3.0 BATTERY 2-PACK,169,,,
045242511594,2111-21,RDL HARD HAT HDLAMP 3.0 KIT,69.97,59.99,9/5/2022,10/23/2022
045242536689,2551-22,M12 FUEL SURGE 1/4 HEX HYD DRV KIT,179,,,
045242559541,48-22-8442,PACKOUT 2 DRAWER TOOL BOX,149,,,
045242286782,48-11-2411,M12 CP1.5 BATTERY 2-PACK,89,,,
045242006465,2722-20,M18 FUEL SUPER SAWZALL BARE,249,,,
045242513970,2475-20,M12 INFLATOR/ AIR COMPRESSOR,119,,,
045242317837,2792-20,M18 RADIO/CHARGER,249,,,
045242151677,6538-21,15 AMP SUPER SAWZALL,199,,,
045242568499,2978-22O,M18 6T OD3 UTILITY CRIMPER KIT,2499.99,,,
045242226214,2420-21,M12 HACKZALL 2ND GEN KIT 1 BAT,149,,,
045242568949,2962-22,"M18 FUEL 1/2"" MTIW RING KIT",459,,,
045242519958,2522-20,"M12 FUEL 3"" CUT OFF TOOL BARE",149,,,
045242502370,2869-20,"M18 FUEL OK 1"" D-HNDL EXT HTIW BARE",899,,,
045242526437,5546-21,"1-3/4"" SDS MAX ROTARY HAMMER",729,,,
045242353316,48-89-4630,SHOCKWAVE 15PC TIN KIT,27.97,,,
045242568901,2960-20,"M18 FUEL 3/8"" MTIW RING BARE",249,,,
045242533916,MXF041-1XC,MX FUEL TOWER LIGHT,3299,,,
045242505296,48-22-8315,PACKOUT 15 INCH TOTE,99,,,
045242574254,2992-22,M18 BRUSHLESS 2 PC COMBO KIT,349,299,8/1/2022,10/30/2022
045242521180,2554-22,"M12 FUEL 3/8"" IMP WRENCH KIT",329,,,
045242508334,2688-20,M18 HEAT GUN BARE TOOL,149,,,
045242341870,49-16-2697,"M18 1/2""- 2""BLACK IRON JAW KIT",2979.99,,,
045242200436,2625-20,M18 HACKZALL,129,,,
045242537600,2980-20,"M18 FUEL 4-1/2"" / 6"" PAD, BARE",249,,,
045242499380,48-22-6625,25FT COMPACT TAPE MEASURE,16.97,14.97,9/5/2022,10/23/2022
045242237227,6232-21,DEEP CUT BAND SAW W/CASE,349,,,
045242469918,2713-20,M18 FUEL D-HANDLE BARE TOOL,249,,,
045242501311,2677-23,"M18 6T KO KIT 1/2"" - 4""",1599.99,,,
045242551958,2912-22DE,"M18 FUEL 1"" SDS PLUS ROTARY HAMMER DE KIT",699,,,
045242563814,2527-20,M12 FUEL HATCHET PRUNING SAW BT,199,,,
045242559824,48-59-2440,M12 XC 4.0 STARTER KIT,99,,,
045242534036,MXF314-2XC,"MX FUEL 14"" CUT-OFF SAW 2 BATT KIT",2799,,,
045242287666,2646-22CT,M18 2-SPD GREASE GUN - 2CT KIT,369,,,
045242568833,2854-22,"M18 FUEL 3/8"" CPIW RING KIT",409,,,
045242551965,2915-20,"M18 FUEL 1-1/8"" SDS PLUS ROTARY HAMMER BT",449,,,
045242534425,48-22-1503,2PK FLIP UTILITY KNIFE SET,19.97,,,
045242545674,2951-20,M12 RADIO-CHARGER,149,,,
045242514311,48-22-6825,25' COMPACT AUTOLOCK TAPE MEASURE,16.97,,,
045242646180,2825-20PS,M18 FUEL QUIK LOK POLE SAW BT,299,,,
045242559190,2821-22,GEN II M18 FUEL SAWZALL (2-BATT KIT),449,,,
045242568482,2978-22BG,M18 6T BGD3 UTILITY CRIMPER KIT,2499.99,,,
045242293025,2401-22,M12 SCREWDRIVER KIT,99,,,
045242473793,2778-22,M18 12T UTILITY CRIMPER KIT,4999.99,,,
045242502363,2865-22,"M18 FUEL ONE-KEY 7/16"" IMPACT WRENCH KIT",629,,,
045242505340,48-22-8425,PACKOUT LARGE TOOL BOX,89.97,,,
045242532940,2874-22HD,"M18 FUEL 2"" THREADER - 2 BATT",1999.99,,,
045242526949,2820-20PS,M18 BACKPACK SPRAYER BARE TOOL,299,,,
045242547531,2526-20,M12 FUEL MULTI TOOL BARE,149,,,
045242532896,49-16-2719,HEDGE TRIMMER ATTACHMENT,179,,,
045242536573,2867-22,"M18 FUEL 1"" HTIW W/ONE-KEY KIT",1099,,,
045242357741,48-59-1808,M18 & M12 RAPID CHARGER,99,,,
045242540228,2973-22,M18 MINI SEWER CAMERA W/HUB KIT,7039,,,
045242559183,2821-21,GEN II M18 FUEL SAWZALL (1-BATT KIT),329,,,
045242560370,2807-20,"M18 FUEL 1/2"" HOLE HAWG BARE TOOL",299,,,
045242502325,2863-22,"GEN II HTIW WL1/2"" RING KIT",549,,,
045242253159,2695-24,M18 COMP HD/HACKZALL/IMPACT/LT,499,,,
045242532889,49-16-2718,EDGER ATTACHMENT,119,,,
045242004386,2557-22,"M12 FUEL 3/8"" RATCHET 2BAT",299,,,
045242533459,48-22-0225,25' WIDE BLADE TAPE - 14’ SO,25.97,,,
045242324729,2676-23,"M18 SS KNOCKOUT 1/2"" - 4"" KIT",2149.99,,,
045242530250,2631-20,"M18 BL 7-1/4"" CIRC BARE",199,,,
045242515936,2550-20,M12 RIVET TOOL,249,,,
045242506453,2365-20,M18 MOUNTING FLOOD LIGHT,119,,,
045242541362,48-59-1802,M18 DUAL BAY RAPID CHARGER,129,,,
045242572052,2366-20,M18 DUAL POWER FLOOD LIGHT,149,,,
045242237739,2432-22,M12 PROPEX EXPANSION TOOL KIT,499.99,,,
045242566228,2532-22,M12 FUEL PROPEX EXPANDER KIT,599.99,,,
045242002252,2803-20,"M18 FUEL 1/2"" DRILL-BT",189,,,
045242534081,48-32-2390,SHOCKWAVE RIGHT ANGLE ADAPTER,24.97,,,
045242537310,2745-21,M18 FUEL 30 DEGREE FRAMING NAILER KIT,479,,,
045242253166,2696-24,M18 COMP HD/SAWZALL/IMPACT/LT,549,,,
045242239610,2426-20,M12 MULTI-TOOL - TOOL ONLY,99,,,
